timestamp,temperature,humidity,pressure,wind_speed,rainfall,device_id
2026-01-07T11:44:11.590117,31.53,43.27,1007.84,2.49,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:12.594727,4.37,90.16,1016.32,9.11,6.03,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:13.596209,12.04,57.67,1018.62,8.48,0.25,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:14.600017,5.6,80.67,1027.35,14.35,5.3,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:15.605466,32.8,50.9,1020.83,8.48,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:16.608976,-1.81,79.21,1010.57,7.09,2.85,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:17.612332,-3.47,32.23,985.56,2.38,7.4,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:18.617854,28.78,90.08,994.36,3.09,3.61,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:19.623448,8.37,38.83,991.52,10.69,1.5,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:20.628836,31.77,47.41,1017.57,0.93,2.97,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:21.633528,26.9,59.99,997.66,4.3,3.32,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:22.638308,18.08,35.16,1000.1,4.91,1.38,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:23.643535,2.59,61.38,983.72,0.35,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:24.649026,3.85,51.26,1004.68,14.25,12.21,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:25.652195,17.6,71.21,1003.46,4.97,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:26.657711,22.26,79.02,999.22,13.66,4.66,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:27.661684,0.76,83.5,995.98,0.58,4.9,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:28.672948,27.06,81.89,1001.7,11.67,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:29.676027,25.41,34.81,1017.12,8.95,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:30.681554,4.99,91.5,992.29,9.42,6.27,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:31.683511,30.6,92.76,1004.63,4.31,1.34,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:32.688933,6.54,74.07,1011.25,10.04,1.29,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:33.692249,30.77,51.72,1029.97,6.22,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:34.697840,-1.09,36.09,1014.46,4.57,2.98,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:35.698860,31.27,73.09,992.23,2.82,0.5,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:36.704324,-0.08,40.97,983.54,14.45,6.99,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:37.708893,24.16,61.16,1024.19,5.28,8.81,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:38.713077,10.48,42.82,1008.9,13.29,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:39.717841,2.59,52.15,995.68,2.3,4.12,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:40.720510,25.84,90.5,995.62,1.33,1.55,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:41.726018,7.5,37.88,1026.12,1.83,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:42.731431,9.31,87.89,980.47,13.25,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:43.736434,6.73,61.94,1010.33,10.02,1.78,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:44.742080,12.57,35.17,996.95,4.99,2.23,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:45.745896,30.02,36.72,1031.28,11.74,6.06,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:46.751523,19.88,49.8,1020.25,8.95,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:47.756828,2.2,71.83,1012.53,11.11,2.48,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:48.762107,2.08,82.98,982.94,5.15,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:49.766645,17.43,46.16,989.46,3.62,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:50.772314,15.29,53.7,988.6,5.07,2.03,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:51.775536,29.58,68.42,986.13,9.93,8.36,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:52.779081,-2.86,75.1,1009.73,4.43,7.39,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:53.784696,17.08,39.12,990.57,4.64,3.23,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:54.790194,26.85,32.37,1008.3,8.22,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:55.792110,34.84,80.92,1015.15,13.17,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:56.795779,28.77,69.73,980.56,2.59,5.74,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:57.801334,32.19,88.32,981.77,1.86,2.69,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:58.807015,-3.17,60.02,999.02,9.01,0.38,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:44:59.807886,8.2,41.6,1028.62,8.4,9.49,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:00.812620,23.12,92.1,987.5,6.18,3.6,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:01.816533,26.67,56.65,981.48,7.9,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:02.821741,-2.08,61.7,1020.44,3.01,0.15,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:03.826489,27.98,31.62,1005.77,3.25,6.71,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:04.831896,26.75,82.88,1025.24,9.3,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:05.834280,32.83,88.17,1002.38,2.18,4.24,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:06.839592,15.81,48.06,991.06,2.43,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:07.845005,2.41,57.81,1012.68,10.36,4.89,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:08.849927,4.87,82.93,981.04,3.74,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:09.851285,19.1,49.87,982.58,1.74,2.74,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:10.856528,28.19,83.1,997.0,10.04,4.61,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:11.861832,30.06,56.44,1028.38,11.6,0.76,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:12.864986,19.13,38.92,1026.05,10.37,5.74,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:13.870178,15.85,64.77,1034.74,4.44,4.54,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:14.875529,25.02,70.95,1014.59,13.83,0.53,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:15.879611,10.42,53.01,1013.47,12.07,7.78,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:16.880368,-1.53,88.74,988.92,0.73,4.74,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:17.885299,0.13,91.69,1031.51,4.21,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:18.888781,8.98,50.62,1014.91,7.14,3.91,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:19.891621,-4.54,81.59,1013.75,12.12,3.78,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:20.896882,3.58,87.65,1027.08,13.11,0,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:21.897817,30.87,76.4,1034.9,11.57,7.7,Raspberry-Pi-Lab-Spot-01
2026-01-07T11:45:22.900581,11.42,82.73,989.13,8.53,4.58,Raspberry-Pi-Lab-Spot-01
